Current directory is/home/andriish/Projects/JADE.git/trunk/jadesoft/src/grafix
hodrfi.F ... cgraph.for
hodrfi.F ... cgeo1.for
tr3dsp.F ... cdata.for
tr3dsp.F ... cgraph.for
fwmuht.F ... cgraph.for
fwmuht.F ... cdata.for
fwchev.F ... cdata.for
fwchev.F ... cgraph.for
fwchev.F ... chsym.for
fwchev.F ... cgeo1.for
fwchev.F ... cgeo2.for
fwchev.F ... cgeo3.for
fwchev.F ... cwktag.for
phnumb.F ... chsym.for
phnumb.F ... cgraph.for
jadisp.F ... cgraph.for
jadisp.F ... cadmin.for
jadisp.F ... cgeo1.for
jadisp.F ... cdata.for
drawbp.F ... cgeo1.for
drawbp.F ... cgraph.for
drawbp.F ... cgeov.for
drawbp.F ... mvccal.for
drawer.F ... cgraph.for
drawfd.F ... cgraph.for
drawfd.F ... cgeo2.for
drawfd.F ... cgeo3.for
drawfd.F ... cwktag.for
drawid.F ... cjdrch.for
drawid.F ... cgeo1.for
drawid.F ... cgeo2.for
drawid.F ... cgraph.for
drawid.F ... cgrscl.for
drawvc.F ... cgeov.for
drawvc.F ... cjvcel.for
drawvc.F ... cjvtxc.for
drawvc.F ... cgraph.for
drawvc.F ... cgrscl.for
drawvc.F ... mvccal.for
drawzc.F ... czgeo.for
drawlg.F ... cgeo1.for
drawlg.F ... cgeo2.for
drawlg.F ... cgraph.for
fwmucn.F ... cgraph.for
fwmucn.F ... cdata.for
rsdisp.F ... cgraph.for
rsdisp.F ... cgeo1.for
rsdisp.F ... cdata.for
rsdisp.F ... mccomf.for
bankls.F ... cdata.for
bankls.F ... cgraph.for
bankls.F ... cgeo1.for
vxdisp.F ... cgraph.for
vxdisp.F ... cgeo1.for
vxdisp.F ... cdata.for
vxdisp.F ... mvertex0.for
vxdisp.F ... mvertex1.for
gamdis.F ... cgraph.for
gamdis.F ... cdata.for
gamdis.F ... cgeo1.for
fwdisp.F ... cdata.for
fwdisp.F ... cgraph.for
fwdisp.F ... cgeo2.for
fwdisp.F ... cgeo3.for
heldis.F ... cgraph.for
heldis.F ... cgeo1.for
lindis.F ... cgraph.for
lindis.F ... cgeo1.for
lindis.F ... cdata.for
projec.F ... cgraph.for
projvw.F ... cgraph.for
croax.F ... cgraph.for
komman.F ... cgraph.for
comwrd.F ... cgrcom.for
disply.F ... cgraph.for
disply.F ... cgeo1.for
bankpr.F ... cgraph.for
bankpr.F ... cdata.for
cdst.F ... cgraph.for
tbgdis.F ... cdata.for
tbgdis.F ... cgeo1.for
tbgdis.F ... cgraph.for
retten.F ... cdata.for
retten.F ... cgraph.for
dispzc.F ... cdata.for
hitdsp.F ... cgraph.for
hitdsp.F ... cdata.for
hitdsp.F ... cworkpr.for
hitdsp.F ... cworkeq.for
joys.F ... cgraph.for
yamada.F ... cgraph.for
yamada.F ... cdata.for
saege.F ... cgraph.for
vcdo.F ... cgraph.for
pick.F ... cgraph.for
ctdist.F ... cdata.for
ctdist.F ... cgraph.for
zinter.F ... cgraph.for
zinter.F ... clbpgm.for
zinter.F ... cdata.for
zinter.F ... czvpar.for
zinter.F ... cworkzv.for
trkhit.F ... cgeo1.for
trkhit.F ... cgraph.for
trkhit.F ... cdata.for
trnumb.F ... cgraph.for
trnumb.F ... cgeo1.for
drwhit.F ... mvccal.for
gvtxft.F ... cdata.for
gvtxft.F ... cgraph.for
gvtxft.F ... cgeo1.for
gvtxft.F ... cadmin.for
gvtxft.F ... mvertex0.for
gvtxft.F ... mvertex1.for
gvtxft.F ... mvertex2.for
muldsp.F ... cgraph.for
muldsp.F ... cdata.for
muldsp.F ... cmuffl.for
drhatc.F ... mvccal.for
stplst.F ... cgraph.for
predit.F ... cworkpr.for
predit.F ... cgraph.for
predit.F ... cpatlm.for
credit.F ... cworkpr.for
credit.F ... cworkeq.for
credit.F ... cpatlm.for
credit.F ... cdata.for
credit.F ... cjdrch.for
credit.F ... cgeo1.for
credit.F ... cgraph.for
trtext.F ... cdata.for
trtext.F ... cgraph.for
trtext.F ... cgeo1.for
dedxds.F ... cgeo1.for
dedxds.F ... cgraph.for
dedxds.F ... cdata.for
dedxv1.F ... cgraph.for
dedxv1.F ... cdata.for
dedxv1.F ... chsym.for
dedxv1.F ... cjdrch.for
dedxvw.F ... cgraph.for
dedxvw.F ... cdata.for
dedxvw.F ... chsym.for
qplots.F ... cgraph.for
qplots.F ... cdata.for
qplots.F ... cdata.for
qplots.F ... cgraph.for
qplots.F ... cdata.for
qplots.F ... cgraph.for
qplots.F ... cdata.for
qplots.F ... cdata.for
qplots.F ... cdata.for
qplots.F ... cgraph.for
tofds.F ... cgraph.for
tofds.F ... cdata.for
xtofvw.F ... cgraph.for
xtofvw.F ... cdata.for
xtofvw.F ... chsym.for
axshow.F ... cdata.for
axshow.F ... cgeo1.for
axshow.F ... cgraph.for
dsfadc.F ... cgraph.for
dsfadc.F ... cdata.for
ztrgvw.F ... cgeo1.for
ztrgvw.F ... cjdrch.for
ztrgvw.F ... cgraph.for
ztrgvw.F ... cdata.for
ztrgvw.F ... chsym.for
newcal.F ... cgraph.for
newcal.F ... cdata.for
fampds.F ... cgraph.for
fampds.F ... cdata.for
fampds.F ... cgeo1.for
fampft.F ... cgraph.for
fampft.F ... cgeo1.for
n50sds.F ... cdata.for
n50sds.F ... cgraph.for
more.F ... cgraph.for
dsvac.F ... cgraph.for
dsvac.F ... cdata.for
dsvac.F ... cjvcel.for
j68kds.F ... cgraph.for
ftdlho.F ... cdata.for
zfit.F ... czsprm.for
zfit.F ... cgraph.for
zfitds.F ... cgraph.for
zfitds.F ... czsprm.for
gmtext.F ... cdata.for
gmtext.F ... cgraph.for
gmtext.F ... cgeo1.for
capmrk.F ... cgraph.for
capmrk.F ... cdata.for
capmrk.F ... cgeo1.for
capmrk.F ... chsym.for
vrxcir.F ... cgraph.for
fw83.F ... cgeo3.for
fwc83.F ... cgeo2.for
fwc83.F ... cgeo3.for
fwc83.F ... cgraph.for
fwcap.F ... cgeo2.for
fwcap.F ... cwktag.for
fwnew.F ... cgeo2.for
fwnew.F ... cgeo3.for
fadcax.F ... cgraph.for
prn50s.F ... cdata.for
prn50s.F ... cgraph.for
prtpvx.F ... cdata.for
prtpvx.F ... cgraph.for
pratof.F ... cgraph.for
prmprs.F ... cdata.for
prmprs.F ... cgraph.for
prtpev.F ... cdata.for
prtpev.F ... cgraph.for
przvtx.F ... cdata.for
przvtx.F ... cgraph.for
prtptr.F ... cdata.for
prtptr.F ... cgraph.for
xxxyyy.F ... cgraph.for
koord.F ... cgraph.for
koord.F ... cdata.for
koord.F ... cjvcel.for
koord.F ... mvccal.for
newcap.F ... cgeo2.for
newcap.F ... cgraph.for
ecap.F ... cgeo1.for
ecap.F ... cgraph.for
ecaps.F ... cdata.for
ecaps.F ... cgeo1.for
ecaps.F ... cgraph.for
ecapcy.F ... cgeo1.for
ecapcy.F ... cgraph.for
mur2ds.F ... cgraph.for
blshow.F ... cgraph.for
blshow.F ... cgeo1.for
blshow.F ... cdata.for
blnumb.F ... cdata.for
blnumb.F ... cgraph.for
blnumb.F ... cgeo2.for
blnumb.F ... cgeo3.for
blnumb.F ... cwktag.for
edvp.F ... cdata.for
edvp.F ... cgraph.for
edvp.F ... cgrscl.for
numbwr.F ... cgraph.for
numbwr.F ... chsym.for
trig2.F ... cdata.for
trig2.F ... cgeo1.for
trig2.F ... cjdrch.for
trig2.F ... cgraph.for
drvcrd.F ... cgraph.for
drvcrd.F ... cdata.for
drvcrd.F ... cjvcel.for
drvcrd.F ... cjvtxc.for
efmass.F ... cdata.for
efmass.F ... cgraph.for
efmass.F ... cgeo1.for
efmass.F ... mvertex0.for
efmass.F ... mvertex1.for
efmass.F ... mvertex2.for
efmass.F ... cdata.for
cirdis.F ... cgraph.for
cirdis.F ... cgrscl.for
cirdis.F ... cgeo1.for
evtax.F ... cdata.for
lgclst.F ... cdata.for
lgclst.F ... cgraph.for
lgclst.F ... cgeo1.for
truth.F ... cdata.for
truth.F ... cgrscl.for
truth.F ... cgraph.for
truth.F ... cgeo1.for
xytag.F ... cdata.for
xytag.F ... cgraph.for
xytag.F ... cwktag.for
xytag.F ... cgeo2.for
xytag.F ... cgeo3.for
trkrol.F ... cgeo1.for
trkrol.F ... cgraph.for
trkrol.F ... cdata.for
rutrck.F ... cgraph.for
rutrck.F ... cgeo1.for
pardis.F ... cgraph.for
pardis.F ... cgrscl.for
pardis.F ... cgeo1.for
trn4v.F ... cdata.for
trn4v.F ... calibr.for
trn4v.F ... mtrinf.for
spthak.F ... mtrinf.for
trpvtx.F ... cdata.for
trpvtx.F ... cgeo1.for
hitpnt.F ... chsym.for
xcalcor.F ... cgraph.for
xsafchk.F ... cgraph.for
vtx.F ... mvertex2.for
vtx.F ... mvertex1.for
vtx.F ... mvertex2.for
vtx.F ... mvtrce.for
vtx.F ... mvertex0.for
vtx.F ... mvertex1.for
vtx.F ... mvertex2.for
vtx.F ... mvertex0.for
vtx.F ... mvertex1.for
vtx.F ... mvertex2.for
vtx.F ... mvertex1.for
vtx.F ... mvertex2.for

.F files sorted by include-files:
-- ----- ------ -- --------------
cadmin.for: scannr.F dispvc.F jadisp.F gvtxft.F
calibr.for: trn4v.F
cdata.for: scannr.F evdisp.F dispvc.F ficoor.F ficoov.F rzhits.F rzroll.F pbgrfi.F pbgrz.F pbgcyl.F pbgsum.F hodrfi.F tr3dsp.F fwmuht.F fwchev.F jadisp.F fwmucn.F rsdisp.F bankls.F vxdisp.F gamdis.F fwdisp.F lindis.F bankpr.F tbgdis.F retten.F dispzc.F hitdsp.F yamada.F ctdist.F zinter.F trkhit.F gvtxft.F muldsp.F credit.F trtext.F dedxds.F dedxv1.F dedxvw.F qplots.F tofds.F xtofvw.F axshow.F dsfadc.F ztrgvw.F newcal.F fampds.F n50sds.F dsvac.F ftdlho.F gmtext.F capmrk.F prn50s.F prtpvx.F prmprs.F prtpev.F przvtx.F prtptr.F koord.F ecaps.F blshow.F blnumb.F edvp.F trig2.F drvcrd.F efmass.F evtax.F lgclst.F truth.F xytag.F trkrol.F trn4v.F trpvtx.F
cgeo1.for: scannr.F evdisp.F ficoor.F rzroll.F rztrck.F pbgrfi.F pbgrz.F pbgcyl.F hodrfi.F fwchev.F jadisp.F drawbp.F drawid.F drawlg.F rsdisp.F bankls.F vxdisp.F gamdis.F heldis.F lindis.F disply.F tbgdis.F trkhit.F trnumb.F gvtxft.F credit.F trtext.F dedxds.F axshow.F ztrgvw.F fampds.F fampft.F gmtext.F capmrk.F ecap.F ecaps.F ecapcy.F blshow.F trig2.F efmass.F cirdis.F lgclst.F truth.F trkrol.F rutrck.F pardis.F trpvtx.F
cgeo2.for: evdisp.F fwchev.F drawfd.F drawid.F drawlg.F fwdisp.F fwc83.F fwcap.F fwnew.F newcap.F blnumb.F xytag.F
cgeo3.for: fwchev.F drawfd.F fwdisp.F fw83.F fwc83.F fwnew.F blnumb.F xytag.F
cgeov.for: evdisp.F drawbp.F drawvc.F
cgraph.for: ralloc.F calloc.F setupg.F setdef.F endmes.F walloc.F scannr.F setscl.F evdisp.F dispvc.F ficoor.F ficoov.F hitmrk.F rzhits.F rzdraw.F rzroll.F rztrck.F pbgrfi.F pbgrz.F pbgcyl.F pbgsum.F hodrfi.F tr3dsp.F fwmuht.F fwchev.F phnumb.F jadisp.F drawbp.F drawer.F drawfd.F drawid.F drawvc.F drawlg.F fwmucn.F rsdisp.F bankls.F vxdisp.F gamdis.F fwdisp.F heldis.F lindis.F projec.F projvw.F croax.F komman.F disply.F bankpr.F cdst.F tbgdis.F retten.F hitdsp.F joys.F yamada.F saege.F vcdo.F pick.F ctdist.F zinter.F trkhit.F trnumb.F gvtxft.F muldsp.F stplst.F predit.F credit.F trtext.F dedxds.F dedxv1.F dedxvw.F qplots.F tofds.F xtofvw.F axshow.F dsfadc.F ztrgvw.F newcal.F fampds.F fampft.F n50sds.F more.F dsvac.F j68kds.F zfit.F zfitds.F gmtext.F capmrk.F vrxcir.F fwc83.F fadcax.F prn50s.F prtpvx.F pratof.F prmprs.F prtpev.F przvtx.F prtptr.F xxxyyy.F koord.F newcap.F ecap.F ecaps.F ecapcy.F mur2ds.F blshow.F blnumb.F edvp.F numbwr.F trig2.F drvcrd.F efmass.F cirdis.F lgclst.F truth.F xytag.F trkrol.F rutrck.F pardis.F xcalcor.F xsafchk.F
cgrcom.for: defcmd.F comwrd.F
cgrscl.for: setscl.F dispvc.F drawid.F drawvc.F edvp.F cirdis.F truth.F pardis.F
chsym.for: fwchev.F phnumb.F dedxv1.F dedxvw.F xtofvw.F ztrgvw.F capmrk.F numbwr.F hitpnt.F
ciouni.for: calloc.F walloc.F
cjdrch.for: scannr.F evdisp.F ficoor.F drawid.F credit.F dedxv1.F ztrgvw.F trig2.F
cjvcel.for: evdisp.F ficoov.F drawvc.F dsvac.F koord.F drvcrd.F
cjvtxc.for: evdisp.F ficoov.F drawvc.F drvcrd.F
clbpgm.for: scannr.F zinter.F
cmuffl.for: muldsp.F
cpatlm.for: predit.F credit.F
cwktag.for: fwchev.F drawfd.F fwcap.F blnumb.F xytag.F
cworkeq.for: hitdsp.F credit.F
cworkpr.for: hitdsp.F predit.F credit.F
cworkzv.for: zinter.F
czgeo.for: drawzc.F
czsprm.for: zfit.F zfitds.F
czvpar.for: zinter.F
mccomf.for: rsdisp.F
mtrinf.for: trn4v.F spthak.F
mvccal.for: dispvc.F ficoov.F drawbp.F drawvc.F drwhit.F drhatc.F koord.F
mvertex0.for: vxdisp.F gvtxft.F efmass.F vtx.F
mvertex1.for: vxdisp.F gvtxft.F efmass.F vtx.F
mvertex2.for: gvtxft.F efmass.F vtx.F
mvtrce.for: dispvc.F vtx.F

Library members sorted by include-files:
------- ------- ------ -- -------------
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( scannr.o dispvc.o jadisp.o gvtxft.o ) :\t cadmin.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( trn4v.o ) :\t calibr.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( scannr.o evdisp.o dispvc.o ficoor.o ficoov.o rzhits.o rzroll.o pbgrfi.o pbgrz.o pbgcyl.o pbgsum.o hodrfi.o tr3dsp.o fwmuht.o fwchev.o jadisp.o fwmucn.o rsdisp.o bankls.o vxdisp.o gamdis.o fwdisp.o lindis.o bankpr.o tbgdis.o retten.o dispzc.o hitdsp.o yamada.o ctdist.o zinter.o trkhit.o gvtxft.o muldsp.o credit.o trtext.o dedxds.o dedxv1.o dedxvw.o qplots.o tofds.o xtofvw.o axshow.o dsfadc.o ztrgvw.o newcal.o fampds.o n50sds.o dsvac.o ftdlho.o gmtext.o capmrk.o prn50s.o prtpvx.o prmprs.o prtpev.o przvtx.o prtptr.o koord.o ecaps.o blshow.o blnumb.o edvp.o trig2.o drvcrd.o efmass.o evtax.o lgclst.o truth.o xytag.o trkrol.o trn4v.o trpvtx.o ) :\t cdata.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( scannr.o evdisp.o ficoor.o rzroll.o rztrck.o pbgrfi.o pbgrz.o pbgcyl.o hodrfi.o fwchev.o jadisp.o drawbp.o drawid.o drawlg.o rsdisp.o bankls.o vxdisp.o gamdis.o heldis.o lindis.o disply.o tbgdis.o trkhit.o trnumb.o gvtxft.o credit.o trtext.o dedxds.o axshow.o ztrgvw.o fampds.o fampft.o gmtext.o capmrk.o ecap.o ecaps.o ecapcy.o blshow.o trig2.o efmass.o cirdis.o lgclst.o truth.o trkrol.o rutrck.o pardis.o trpvtx.o ) :\t cgeo1.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( evdisp.o fwchev.o drawfd.o drawid.o drawlg.o fwdisp.o fwc83.o fwcap.o fwnew.o newcap.o blnumb.o xytag.o ) :\t cgeo2.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( fwchev.o drawfd.o fwdisp.o fw83.o fwc83.o fwnew.o blnumb.o xytag.o ) :\t cgeo3.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( evdisp.o drawbp.o drawvc.o ) :\t cgeov.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( ralloc.o calloc.o setupg.o setdef.o endmes.o walloc.o scannr.o setscl.o evdisp.o dispvc.o ficoor.o ficoov.o hitmrk.o rzhits.o rzdraw.o rzroll.o rztrck.o pbgrfi.o pbgrz.o pbgcyl.o pbgsum.o hodrfi.o tr3dsp.o fwmuht.o fwchev.o phnumb.o jadisp.o drawbp.o drawer.o drawfd.o drawid.o drawvc.o drawlg.o fwmucn.o rsdisp.o bankls.o vxdisp.o gamdis.o fwdisp.o heldis.o lindis.o projec.o projvw.o croax.o komman.o disply.o bankpr.o cdst.o tbgdis.o retten.o hitdsp.o joys.o yamada.o saege.o vcdo.o pick.o ctdist.o zinter.o trkhit.o trnumb.o gvtxft.o muldsp.o stplst.o predit.o credit.o trtext.o dedxds.o dedxv1.o dedxvw.o qplots.o tofds.o xtofvw.o axshow.o dsfadc.o ztrgvw.o newcal.o fampds.o fampft.o n50sds.o more.o dsvac.o j68kds.o zfit.o zfitds.o gmtext.o capmrk.o vrxcir.o fwc83.o fadcax.o prn50s.o prtpvx.o pratof.o prmprs.o prtpev.o przvtx.o prtptr.o xxxyyy.o koord.o newcap.o ecap.o ecaps.o ecapcy.o mur2ds.o blshow.o blnumb.o edvp.o numbwr.o trig2.o drvcrd.o efmass.o cirdis.o lgclst.o truth.o xytag.o trkrol.o rutrck.o pardis.o xcalcor.o xsafchk.o ) :\t cgraph.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( defcmd.o comwrd.o ) :\t cgrcom.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( setscl.o dispvc.o drawid.o drawvc.o edvp.o cirdis.o truth.o pardis.o ) :\t cgrscl.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( fwchev.o phnumb.o dedxv1.o dedxvw.o xtofvw.o ztrgvw.o capmrk.o numbwr.o hitpnt.o ) :\t chsym.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( calloc.o walloc.o ) :\t ciouni.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( scannr.o evdisp.o ficoor.o drawid.o credit.o dedxv1.o ztrgvw.o trig2.o ) :\t cjdrch.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( evdisp.o ficoov.o drawvc.o dsvac.o koord.o drvcrd.o ) :\t cjvcel.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( evdisp.o ficoov.o drawvc.o drvcrd.o ) :\t cjvtxc.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( scannr.o zinter.o ) :\t clbpgm.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( muldsp.o ) :\t cmuffl.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( predit.o credit.o ) :\t cpatlm.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( fwchev.o drawfd.o fwcap.o blnumb.o xytag.o ) :\t cwktag.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( hitdsp.o credit.o ) :\t cworkeq.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( hitdsp.o predit.o credit.o ) :\t cworkpr.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( zinter.o ) :\t cworkzv.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( drawzc.o ) :\t czgeo.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( zfit.o zfitds.o ) :\t czsprm.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( zinter.o ) :\t czvpar.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( rsdisp.o ) :\t mccomf.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( trn4v.o spthak.o ) :\t mtrinf.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( dispvc.o ficoov.o drawbp.o drawvc.o drwhit.o drhatc.o koord.o ) :\t mvccal.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( vxdisp.o gvtxft.o efmass.o vtx.o ) :\t mvertex0.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( vxdisp.o gvtxft.o efmass.o vtx.o ) :\t mvertex1.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( gvtxft.o efmass.o vtx.o ) :\t mvertex2.for
/home/andriish/Projects/JADE.git/trunk/jadesoft/lib/libgrafix.a( dispvc.o vtx.o ) :\t mvtrce.for
